session_id,user_id,log_in_time,log_out_time
1,101,2026-05-20 09:00:00.000,2026-05-20 11:00:00.000
2,101,2026-05-21 10:00:00.000,2026-05-21 12:30:00.000
3,108,2026-05-20 08:00:00.000,2026-05-20 10:30:00.000
4,109,2026-05-21 09:30:00.000,2026-05-21 11:00:00.000
5,112,2026-05-22 07:00:00.000,2026-05-22 09:00:00.000
6,114,2026-05-22 08:30:00.000,2026-05-22 12:00:00.000
7,106,2025-04-01 10:00:00.000,2025-04-01 10:15:00.000
8,110,2024-09-20 09:00:00.000,2024-09-20 09:10:00.000
9,111,2026-04-28 08:00:00.000,2026-04-28 08:05:00.000
10,113,2026-05-10 12:00:00.000,2026-05-10 12:08:00.000
11,116,2021-01-10 09:00:00.000,2021-01-10 09:12:00.000
12,117,2026-03-01 11:00:00.000,2026-03-01 11:15:00.000
